Date,TMax,TMin,Prcp
1951-04-07,69.8469619,25.1889629,0.0000000
1951-04-08,72.9069633,27.0069624,0.0000000
1951-04-09,75.8409618,33.9909626,0.0000000
1951-04-10,73.6629634,35.7909626,0.0000000
1951-04-11,75.8409618,26.0709625,0.0000000
1951-04-12,78.9009632,27.2229627,0.0000000
1951-04-13,79.8369640,33.0009626,0.0000000
1951-04-14,74.7969619,40.7409626,0.0000000
1951-04-15,74.9049610,25.4949626,0.0647647
1951-04-16,69.9549610,34.9629626,0.0121434
1951-04-17,63.9609611,40.9389629,0.1125287
1951-04-18,63.8709625,31.1289626,0.0000000
1951-04-19,64.8789615,26.9709625,0.0000000
1951-04-20,64.8789615,27.9249624,0.0000000
1951-04-21,61.8729614,33.8109626,0.0000000
1951-04-22,68.8569633,33.9369626,0.0000000
1951-04-23,62.1789615,28.2309626,0.0000000
1951-04-24,59.9649623,29.0589626,0.0000000
1951-04-25,64.9509632,33.8109626,0.0000000
1951-04-26,62.1609611,31.0209626,0.0000000
1951-04-27,55.0149623,36.9429624,0.0121434
1951-04-28,52.7649623,32.8749626,0.0922898
1951-04-29,47.7609628,25.9989625,0.0000000
1951-04-30,48.8409618,26.9169625,0.0000000
1951-05-01,56.7548369,31.9328371,0.0000000
1951-05-02,54.8828370,25.2548369,0.0196760
1951-05-03,56.8988367,36.1088370,0.0000000
1951-05-04,54.9188378,36.8648370,0.0000000
1951-05-05,61.8488385,29.1248371,0.0078704
1951-05-06,51.9488367,40.9148374,0.3887987
1951-05-07,57.6908377,31.9508371,0.0078704
1951-05-08,66.8348359,33.9128371,0.0000000
1951-05-09,72.9548386,33.9848371,0.0000000
1951-05-10,73.0268368,32.3828371,0.1644917
1951-05-11,52.3088364,35.8748371,0.1377323
1951-05-12,47.8988367,31.0148371,0.0590281
1951-05-13,52.9028363,30.9428370,0.0472225
1951-05-14,64.9088364,31.7708371,0.0000000
1951-05-15,73.8188378,32.2748371,0.0000000
1951-05-16,77.8328370,37.0988372,0.0000000
1951-05-17,75.8348359,45.7568375,0.0000000
1951-05-18,74.7728356,35.9108370,0.0000000
1951-05-19,75.7448372,37.0088373,0.0000000
1951-05-20,76.8068375,38.0528371,0.0000000
1951-05-21,78.7688378,41.9048369,0.0000000
1951-05-22,83.8268368,34.2368371,0.0000000
1951-05-23,77.0228356,46.8008374,0.0000000
1951-05-24,76.7888371,33.9488371,0.0000000
1951-05-25,81.8648365,38.0168372,0.0000000
1951-05-26,84.9788357,43.8668372,0.1093988
1951-05-27,75.3848359,44.7848367,0.0000000
1951-05-28,69.7328370,30.9248371,0.0000000
1951-05-29,66.8708367,33.0848371,0.0000000
1951-05-30,64.9268368,32.9948371,0.0000000
1951-05-31,66.7268368,34.0568371,0.0000000
1951-06-01,68.8223551,33.8663545,0.0000000
1951-06-02,69.8663550,38.7623546,0.0000000
1951-06-03,73.8983546,30.0683545,0.0000000
1951-06-04,69.8303542,36.7283544,0.0000000
1951-06-05,67.7783553,28.0523545,0.0000000
1951-06-06,65.7443533,39.6263547,0.0000000
1951-06-07,66.8423544,34.8023545,0.0000000
